ID,total_price,tip
659,30,.15
660,22,.18
661,15,.15
662,24,.25
663,9,.20
664,29,.18
665,24,.25
666,17,.25
667,42,.25
668,33,.20
669,42,.18
670,28,.20
671,37,.25
672,39,.20
673,28,.15
674,24,.18
675,32,.15
676,42,.25
677,32,.25
678,54,.20
679,29,.15
680,44,.25
681,32,.15
682,42,.18
683,50,.18
684,32,.25
685,48,.20
686,30,.18
687,53,.15
688,44,.25
689,45,.18
690,42,.18
691,27,.25
692,17,.25
693,19,.25
694,33,.25
695,38,.15
696,56,.20
697,40,.15
698,32,.18
699,48,.15
700,28,.18
701,30,.18
702,36,.18
703,43,.25
704,24,.18
705,18,.20
706,35,.15
707,18,.18
708,12,.15
709,30,.25
710,35,.20
711,36,.25
712,42,.25
713,46,.15
714,18,.25
715,36,.18
716,51,.18
717,30,.25
718,40,.15
719,32,.25
720,62,.25
721,24,.20
722,36,.25
723,56,.20
724,47,.20
725,32,.20
726,18,.20
727,44,.18
728,32,.25
729,24,.20
730,18,.15
731,25,.25
732,42,.20
733,39,.20
734,37,.18
735,39,.20
736,21,.18
737,29,.20
738,18,.20
739,42,.18
740,24,.25
741,21,.20
742,16,.15
743,28,.18
744,36,.25
745,30,.25
746,12,.18
747,56,.25
748,24,.18
749,17,.18
750,15,.25
751,34,.20
752,30,.18
753,33,.15
754,15,.15
755,29,.15
756,18,.15
757,43,.15
758,18,.20
759,20,.15
760,50,.15
761,36,.25
762,30,.18
763,42,.20
764,32,.15
765,30,.20
766,14,.25
767,10,.15
768,40,.25
769,40,.15
770,48,.25
771,30,.25
772,12,.25
773,77,.18
774,22,.18
775,48,.18
776,27,.25
777,16,.25
778,12,.25
779,18,.25
780,30,.18
781,26,.20
782,18,.18
783,24,.25
784,20,.18
785,9,.25
786,9,.20
787,46,.18
788,9,.25
789,50,.15
790,60,.15
791,32,.25
792,32,.25
793,28,.25
794,38,.20
795,24,.15
796,26,.15
797,15,.20
798,27,.25
799,34,.20
800,30,.20
801,18,.18
802,34,.20
803,24,.20
804,24,.15
805,15,.15
806,44,.20
807,33,.25
808,58,.18
809,63,.15
810,26,.25
811,36,.18
812,39,.25
813,23,.20
814,30,.20
815,23,.18
816,30,.18
817,33,.25
818,9,.18
819,15,.25
820,50,.25
821,32,.18
822,43,.18
823,24,.15
824,12,.20
825,56,.20
826,15,.25
827,11,.15
828,24,.25
829,30,.20
830,68,.15
831,23,.25
832,12,.25
833,30,.25
834,18,.25
835,36,.15
836,54,.25
837,21,.15
838,46,.18
839,21,.15
840,19,.25
841,36,.15
842,31,.25
843,38,.25
844,39,.25
845,36,.15
846,30,.15
847,21,.25
848,36,.25
849,32,.15
850,31,.25
851,27,.20
852,52,.18
853,40,.25
854,46,.18
855,14,.20
856,29,.20
857,48,.20
858,36,.20
859,38,.15
860,54,.25
861,36,.15
862,38,.15
863,24,.20
864,29,.15
865,33,.15
866,18,.25
867,36,.15
868,35,.18
869,25,.20
870,33,.25
871,54,.18
872,58,.15
873,9,.15
874,36,.15
875,36,.25
876,39,.15
877,33,.15
878,16,.20
879,36,.25
880,28,.18
881,27,.25
882,23,.18
883,9,.15
884,15,.20
885,21,.20
886,15,.25
887,23,.20
888,34,.15
889,25,.18
890,14,.18
891,28,.15
892,15,.20
893,54,.20
894,9,.20
895,50,.20
896,38,.18
897,31,.18
898,53,.15
899,11,.25
900,19,.18
901,21,.18
902,43,.18
903,56,.20
904,23,.25
905,36,.15
906,15,.20
907,58,.20
908,41,.18
909,11,.25
910,26,.20
911,32,.20
912,24,.20
913,25,.25
914,17,.15
915,37,.15
916,36,.20
917,15,.20
918,22,.20
919,12,.25
920,41,.20
921,29,.25
922,9,.18
923,12,.20
924,45,.15
925,50,.25
926,21,.15
927,20,.25
928,36,.18
929,27,.18
930,39,.20
931,30,.20
932,19,.25
933,35,.25
934,27,.15
935,12,.15
936,33,.15
937,25,.15
938,63,.20
939,23,.25
940,48,.15
941,39,.20
942,30,.20
943,54,.20
944,36,.25
945,42,.18
946,18,.15
947,16,.20
948,32,.25
949,19,.18
950,48,.18
951,16,.25
952,27,.18
953,15,.15
954,63,.15
955,14,.20
956,41,.20
957,42,.15
958,27,.25
959,47,.15
960,52,.18
961,44,.25
962,18,.20
963,33,.25
964,16,.20
965,34,.18
966,44,.25
967,13,.25
968,48,.25
969,39,.25
970,69,.25
971,36,.18
972,62,.18
973,40,.18
974,18,.15
975,43,.20
976,12,.25
977,36,.20
978,39,.18
979,22,.18
980,30,.15
981,33,.20
982,21,.20
983,54,.25
984,18,.25
985,16,.20
986,18,.18
987,27,.18
988,18,.18
989,36,.15
990,8,.20
991,24,.18
992,33,.15
993,16,.20
994,39,.18
995,12,.15
996,45,.20
997,59,.18
998,11,.15
999,63,.25
1000,24,.18
1001,46,.15
1002,39,.20
1003,27,.25
1004,17,.25
1005,18,.18
1006,30,.25
1007,39,.18
1008,44,.20
1009,48,.15
1010,68,.15
1011,24,.15
1012,29,.25
1013,37,.18
1014,54,.18
1015,46,.20
1016,11,.25
1017,30,.15
1018,27,.15
1019,9,.15
1020,48,.18
1021,22,.15
1022,48,.20
1023,27,.15
1024,38,.18
1025,30,.25
1026,27,.15
1027,15,.18
1028,48,.25
1029,18,.20
1030,37,.15
1031,27,.18
1032,28,.15
1033,25,.18
1034,24,.18
1035,23,.20
1036,28,.25
1037,15,.15
1038,38,.18
1039,18,.25
1040,12,.20
1041,28,.25
1042,18,.15
1043,24,.15
1044,47,.18
1045,26,.15
1046,30,.25
1047,36,.15
1048,24,.25
1049,16,.18
1050,66,.18
1051,51,.25
1052,24,.15
1053,18,.20
1054,29,.18
1055,44,.15
1056,32,.18
1057,18,.15
1058,28,.15
1059,30,.15
1060,18,.25
1061,18,.15
1062,24,.15
1063,20,.25
1064,34,.25
1065,15,.15
1066,51,.20
1067,38,.20
1068,27,.15
1069,9,.20
1070,9,.15
1071,35,.15
1072,32,.18
1073,22,.15
1074,48,.15
1075,21,.25
1076,48,.25
1077,47,.25
1078,24,.18
1079,24,.20
1080,33,.18
1081,31,.18
1082,56,.25
1083,49,.20
1084,12,.18
1085,38,.18
1086,44,.25
1087,15,.18
1088,27,.25
1089,44,.25
1090,12,.18
1091,35,.18
1092,12,.25
1093,38,.20
1094,12,.25
1095,21,.25
1096,22,.25
1097,43,.15
1098,45,.25
1099,47,.25
1100,42,.25
1101,30,.18
1102,18,.20
1103,55,.20
1104,47,.25
1105,27,.25
1106,30,.18
1107,37,.25
1108,27,.15
1109,36,.20
1110,18,.20
1111,33,.18
1112,30,.20
1113,32,.20
1114,18,.20
1115,42,.25
1116,27,.25
1117,46,.15
1118,40,.18
1119,15,.20
1120,24,.20
1121,18,.25
1122,28,.25
1123,24,.25
1124,50,.20
1125,24,.15
1126,20,.18
1127,52,.25
1128,38,.25
1129,37,.15
1130,42,.15
1131,16,.18
1132,41,.15
1133,37,.20
1134,20,.20
1135,27,.25
1136,33,.25
1137,35,.15
1138,17,.18
1139,60,.15
1140,50,.18
1141,45,.15
1142,24,.18
1143,18,.15
1144,12,.18
1145,21,.25
1146,9,.18
1147,45,.20
1148,18,.20
1149,27,.20
1150,21,.20
1151,27,.15
1152,67,.20
1153,39,.15
1154,33,.18
1155,24,.20
1156,39,.18
1157,18,.15
1158,26,.15
1159,24,.25
1160,21,.15
1161,44,.15
1162,18,.15
1163,31,.18
1164,39,.15
1165,36,.25
1166,31,.25
1167,43,.20
1168,32,.25
1169,27,.25
1170,46,.20
1171,12,.15
1172,24,.15
1173,50,.25
1174,19,.20
1175,34,.15
1176,42,.25
1177,16,.25
1178,21,.18
1179,30,.15
1180,9,.15
1181,32,.15
1182,27,.25
1183,18,.20
1184,30,.15
1185,36,.20
1186,42,.15
1187,49,.15
1188,25,.18
1189,26,.25
1190,21,.18
1191,34,.20
1192,21,.15
1193,36,.18
1194,38,.20
1195,19,.18
1196,35,.18
1197,32,.15
1198,41,.20
1199,36,.18
1200,40,.25
1201,48,.18
1202,46,.20
1203,36,.25
1204,40,.15
1205,24,.25
1206,24,.25
1207,64,.15
1208,48,.20
1209,21,.25
1210,50,.20
1211,22,.20
1212,30,.15
1213,44,.25
1214,18,.20
1215,65,.25
1216,30,.20
1217,41,.25
1218,48,.20
1219,17,.20
1220,15,.25
1221,39,.15
1222,43,.15
1223,28,.20
1224,33,.15
1225,18,.25
1226,9,.25
1227,45,.25
1228,37,.18
1229,33,.25
1230,39,.20
1231,41,.20
1232,58,.20
1233,21,.18
1234,24,.25
1235,34,.20
1236,30,.18
1237,34,.20
1238,28,.25
1239,34,.20
1240,9,.18
1241,24,.25
1242,63,.18
1243,41,.25
1244,55,.18
1245,40,.20
1246,38,.25
1247,18,.20
1248,36,.25
1249,36,.20
1250,26,.15
1251,34,.15
1252,62,.20
1253,33,.20
1254,18,.15
1255,24,.25
1256,50,.18
1257,21,.25
1258,21,.18
1259,27,.15
1260,54,.15
1261,45,.15
1262,35,.15
1263,21,.20
1264,46,.25
1265,18,.20
1266,50,.20
1267,50,.15
1268,59,.18
1269,15,.20
1270,44,.25
1271,11,.25
1272,54,.25
1273,24,.18
1274,39,.25
1275,33,.15
1276,39,.25
1277,40,.20
1278,39,.15
1279,18,.25
1280,15,.20
1281,53,.25
1282,48,.25
1283,60,.25
1284,20,.25
1285,30,.15
1286,15,.20
1287,18,.18
1288,35,.18
1289,39,.20
1290,9,.25
1291,34,.18
1292,15,.25
1293,42,.25
1294,37,.15
1295,42,.20
1296,23,.25
1297,22,.15
1298,38,.18
1299,59,.18
1300,27,.18
1301,27,.15
1302,18,.25
1303,24,.18
1304,18,.18
1305,44,.25
1306,30,.18
1307,36,.20
1308,40,.20
1309,24,.18
1310,15,.15
1311,44,.25
1312,41,.25
1313,30,.15
1314,51,.20
1315,22,.15
1316,26,.25
1317,32,.20
1318,39,.20
1319,33,.15
1320,24,.18
1321,30,.25
1322,32,.15
1323,31,.25
1324,30,.20
1325,14,.15
1326,20,.15
1327,29,.25
1328,16,.18
1329,27,.25
1330,58,.25
1331,53,.25
1332,30,.15
1333,40,.18
1334,30,.20
1335,24,.25
1336,12,.15
1337,28,.15
1338,36,.25
1339,24,.25
1340,50,.18
1341,12,.25
1342,66,.15
1343,17,.25
1344,33,.25
1345,30,.15
1346,18,.25
1347,40,.15
1348,38,.25
1349,20,.20
1350,33,.18
1351,9,.18
1352,32,.25
1353,15,.25
1354,53,.15
1355,28,.25
1356,26,.18
1357,21,.20
1358,53,.25
1359,33,.18
1360,27,.15
1361,21,.18
1362,41,.20
1363,50,.15
1364,32,.18
1365,15,.18
1366,27,.18
1367,26,.25
1368,18,.15
1369,27,.15
1370,62,.25
1371,38,.18
1372,23,.25
1373,38,.25
1374,30,.20
1375,73,.25
1376,11,.25
1377,32,.15
1378,29,.20
1379,41,.25
1380,33,.25
1381,9,.15
1382,30,.20
1383,18,.25
1384,42,.20
1385,39,.15
1386,18,.20
1387,44,.25
1388,31,.18
1389,30,.18
1390,18,.18
1391,24,.15
1392,51,.25
1393,24,.15
1394,15,.25
1395,30,.15
1396,38,.20
1397,22,.25
1398,32,.18
1399,27,.20
1400,33,.25
1401,18,.15
1402,17,.25
1403,43,.25
1404,59,.15
1405,18,.15
1406,18,.15
1407,60,.15
1408,33,.15
1409,35,.18
1410,27,.25
1411,51,.20
1412,21,.25
1413,39,.25
1414,36,.18
1415,39,.15
1416,17,.25
1417,15,.18
1418,37,.18
1419,42,.20
1420,42,.25
1421,15,.20
1422,18,.18
1423,27,.25
1424,33,.18
1425,56,.15
1426,36,.20
1427,18,.25
1428,26,.15
1429,60,.25
1430,37,.15
1431,20,.15
1432,22,.18
1433,21,.20
1434,29,.25
1435,11,.20
1436,50,.20
1437,43,.18
1438,32,.18
1439,18,.20
1440,11,.20
1441,30,.20
1442,35,.25
1443,18,.20
1444,12,.20
1445,32,.15
1446,12,.18
1447,42,.15
1448,62,.18
1449,40,.18
1450,58,.18
1451,15,.25
1452,27,.20
1453,22,.18
1454,12,.25
1455,17,.25
1456,42,.18
1457,37,.25
1458,71,.25
1459,30,.25
1460,11,.25
1461,9,.18
1462,28,.20
1463,18,.25
1464,34,.25
1465,25,.18
1466,18,.15
1467,54,.20
1468,18,.20
1469,23,.15
1470,34,.18
1471,22,.20
1472,30,.18
1473,29,.20
1474,21,.15
1475,25,.15
1476,33,.18
1477,35,.20
1478,33,.20
1479,49,.15
1480,37,.18
1481,39,.25
1482,30,.25
1483,44,.25
1484,45,.25
1485,21,.15
1486,24,.18
1487,24,.20
1488,27,.18
1489,18,.20
1490,12,.25
1491,21,.25
1492,18,.20
1493,48,.18
1494,15,.15
1495,59,.20
1496,39,.25
1497,18,.20
1498,53,.18
1499,28,.15
1500,51,.20
1501,44,.15
1502,56,.18
1503,44,.20
1504,51,.15
1505,9,.15
1506,41,.18
1507,45,.18
1508,50,.25
1509,21,.20
1510,42,.15
1511,36,.25
1512,17,.20
1513,28,.18
1514,42,.18
1515,38,.18
1516,24,.18
1517,27,.25
1518,42,.25
1519,24,.20
1520,36,.15
1521,48,.20
1522,26,.18
1523,22,.20
1524,42,.20
1525,42,.15
1526,22,.15
1527,38,.20
1528,33,.25
1529,33,.18
1530,22,.18
1531,41,.15
1532,42,.20
1533,16,.15
1534,36,.25
1535,43,.20
1536,35,.18
1537,28,.15
1538,27,.15
1539,47,.20
1540,44,.18
1541,56,.18
1542,28,.20
1543,9,.25
1544,41,.15
1545,70,.25
1546,16,.25
1547,9,.25
1548,32,.18
1549,27,.25
1550,34,.18
1551,36,.18
1552,15,.15
1553,29,.15
1554,33,.18
1555,50,.15
1556,23,.15
1557,44,.20
1558,40,.15
1559,14,.18
1560,15,.25
1561,21,.25
1562,28,.25
1563,18,.25
1564,37,.18
1565,42,.15
1566,43,.20
1567,24,.25
1568,43,.20
1569,19,.25
1570,48,.25
1571,41,.25
1572,55,.25
1573,15,.25
1574,18,.20
1575,6,.18
1576,12,.15
1577,24,.20
1578,24,.15
1579,35,.25
1580,33,.20
1581,47,.20
1582,24,.15
1583,18,.20
1584,30,.20
1585,16,.20
1586,9,.25
1587,37,.18
1588,29,.15
1589,47,.15
1590,21,.20
1591,21,.20
1592,36,.25
1593,30,.20
1594,47,.15
1595,38,.25
1596,40,.15
1597,48,.25
1598,49,.18
1599,23,.25
1600,24,.18
1601,25,.15
1602,30,.15
1603,31,.18
1604,16,.18
1605,42,.25
1606,20,.20
1607,24,.18
1608,29,.25
1609,29,.15
1610,24,.15
1611,70,.20
1612,24,.18
1613,15,.15
1614,24,.15
1615,9,.20
1616,23,.25
1617,18,.15
1618,30,.20
1619,38,.25
1620,31,.25
1621,54,.25
1622,46,.18
1623,34,.25
1624,32,.18
1625,33,.20
1626,9,.15
1627,34,.25
1628,12,.15
1629,35,.25
1630,24,.25
1631,26,.18
1632,18,.25
1633,39,.20
1634,39,.15
1635,42,.25
1636,36,.20
1637,15,.20
1638,18,.15
1639,40,.18
1640,20,.15
1641,33,.25
1642,24,.15
1643,33,.25
1644,36,.20
1645,53,.25
1646,54,.18
1647,44,.18
1648,50,.18
1649,24,.25
1650,22,.25
1651,18,.15
1652,40,.15
1653,6,.18
1654,56,.20
1655,57,.20
1656,26,.20
1657,18,.18
1658,40,.15
1659,30,.15
1660,52,.18
1661,11,.18
1662,33,.15
1663,9,.25
1664,29,.25
1665,27,.25
1666,21,.25
1667,48,.15
1668,17,.18
1669,30,.20
1670,58,.18
1671,46,.25
1672,44,.15
1673,27,.18
1674,21,.25
1675,42,.18
1676,72,.15
1677,30,.18
1678,56,.18
1679,23,.20
1680,39,.20
1681,47,.15
1682,36,.20
1683,13,.20
1684,38,.20
1685,29,.18
1686,36,.15
1687,23,.20
1688,21,.25
1689,25,.15
1690,22,.20
1691,60,.18
1692,31,.15
1693,40,.25
1694,26,.15
1695,31,.18
1696,24,.25
1697,27,.25
1698,15,.25
1699,33,.15
1700,24,.20
1701,37,.20
1702,18,.15
1703,39,.15
1704,31,.15
1705,44,.18
1706,24,.20
1707,18,.20
1708,26,.15
1709,70,.18
1710,31,.15
1711,51,.25
1712,18,.18
1713,46,.20
1714,27,.15
1715,35,.15
1716,21,.18
1717,17,.18
1718,56,.15
1719,25,.18
1720,29,.15
1721,30,.25
1722,25,.15
1723,44,.25
1724,38,.20
1725,55,.18
1726,40,.25
1727,32,.18
1728,30,.20
1729,24,.18
1730,9,.20
1731,33,.18
1732,21,.20
1733,11,.18
1734,33,.20
1735,46,.18
1736,27,.25
1737,29,.15
1738,27,.20
1739,9,.15
1740,15,.15
1741,30,.20
1742,35,.18
1743,39,.18
1744,33,.18
1745,52,.15
1746,38,.15
1747,14,.15
1748,32,.15
1749,18,.15
1750,38,.20
1751,48,.15
1752,9,.25
1753,42,.20
1754,36,.15
1755,18,.25
1756,42,.25
1757,33,.20
1758,36,.25
1759,36,.20
1760,12,.25
1761,42,.20
1762,37,.25
1763,47,.25
1764,46,.20
1765,51,.25
1766,43,.20
1767,15,.15
1768,36,.15
1769,15,.25
1770,66,.18
1771,9,.15
1772,26,.15
1773,12,.18
1774,47,.15
1775,18,.18
1776,33,.25
1777,36,.18
1778,21,.15
1779,24,.18
1780,29,.25
1781,47,.20
1782,18,.18
1783,29,.18
1784,27,.20
1785,34,.15
1786,32,.18
1787,28,.25
1788,38,.15
1789,40,.25
1790,27,.25
1791,53,.25
1792,37,.15
1793,30,.20
1794,20,.25
1795,41,.18
1796,57,.25
1797,50,.20
1798,18,.15
1799,47,.15
1800,30,.15
1801,58,.20
1802,18,.15
1803,33,.15
1804,33,.20
1805,21,.18
1806,54,.25
1807,19,.20
1808,19,.25
1809,24,.25
1810,36,.25
1811,16,.18
1812,30,.25
1813,48,.15
1814,39,.25
1815,18,.25
1816,50,.25
1817,47,.15
1818,34,.25
1819,52,.25
1820,30,.20
1821,24,.18
1822,20,.20
1823,39,.15
1824,33,.15
1825,26,.25
1826,39,.18
1827,45,.18
1828,16,.20
1829,41,.25
1830,48,.15
1831,30,.15
1832,60,.18
1833,51,.15
1834,50,.18
1835,47,.20
1836,62,.20
1837,41,.25
1838,12,.25
1839,30,.15
1840,15,.20
1841,30,.15
1842,44,.20
1843,18,.15
1844,41,.25
1845,51,.20
1846,41,.18
1847,58,.20
1848,27,.25
1849,12,.25
1850,15,.18
1851,30,.18
1852,51,.18
1853,66,.15
1854,45,.20
1855,36,.18
1856,44,.20
1857,12,.25
1858,16,.18
1859,53,.18
1860,30,.20
1861,44,.18
1862,54,.20
1863,23,.25
1864,34,.20
1865,36,.20
1866,46,.15
1867,27,.25
1868,33,.25
1869,47,.25
1870,58,.18
1871,36,.18
