bill_ID,item,quantity
169,Abner,4
169,Fat Sandwich,2
170,Corona,4
170,Crab,2
171,Key Lime Pie,2
171,Heineken,1
172,Fries,2
172,Cheesecake,2
173,Uncle Jacob's Stout,2
173,Hop Head Red,3
173,Blind Pig IPA,4
173,Hefeweizen,4
174,Fullsteam Carver,3
174,Pretzels,2
174,Bacon Egg and Cheese,1
174,Focal Banger,2
175,Coke,2
175,Dale's Pale Ale,1
175,Guinness,1
176,Bacon Egg and Cheese,1
176,Soup,1
176,Bell's Two Hearted,3
176,Union Jack,3
177,Abner,4
177,Red Stripe,2
178,Cold Mountain Winter Ale,2
178,Pipeworks Citra,4
178,Cheesecake,2
178,Vanilla Porter,3
179,Coors,3
179,Allagash White,4
179,PseudoSue,2
180,Landshark Lager,1
180,Pipeworks Citra,1
180,Anchor Steam Beer,4
181,Stella Artios,2
181,Budweiser,4
182,Lemonade,1
182,Penne Vodka,1
182,Icehouse,3
183,Lobster,2
183,Fat Sandwich,2
184,Pretzels,1
184,Mountain Dew,1
184,Dogfish Head,2
184,Key Lime Pie,2
185,Stella Artios,1
185,Upslope Brown Ale,4
186,Bitter American,1
186,Buffalo Chicken Sandwich,2
187,Budweiser,4
187,Fancy Lawnmower,2
187,Pipeworks Citra,3
187,Cheesecake,1
188,Celis White,3
188,Bacon Egg and Cheese,2
189,Pabst Blue Ribbon,3
189,Wings,1
189,Bacon Egg and Cheese,1
189,Calamari,2
190,Union Jack,3
190,Mountain Dew,2
190,Hoegaarden,4
191,Dumplings,1
191,Brooklyn Brewery Lager,3
192,Dos Equis,1
192,Tsingtao,1
192,Hoegaarden,3
193,PseudoSue,3
193,Pabst Blue Ribbon,4
194,Nachos,2
194,Brooklyn Brewery Lager,3
194,Cheesecake,1
195,Nachos,2
195,Pancakes,1
196,Hot Dog,2
196,Hefeweizen,4
197,Samuel Adams,3
197,PseudoSue,2
197,Hot Dog,2
197,Craftsman Cabernale,3
198,Hefeweizen,1
198,Pilsner,2
198,Pancakes,2
198,Waffle,1
199,Pabst Blue Ribbon,2
199,Hoegaarden,1
199,Penne Vodka,1
200,Chocolate Cake,2
200,Waffle,1
200,Coke,1
201,Fancy Lawnmower,4
201,Shakespeare Oatmeal Stout,2
202,Cheesesteak,1
202,Bell's Two Hearted,4
203,Penne Vodka,2
203,Saison Rue,2
204,Crab,2
204,Mountain Dew,2
204,Schnickelfritz,1
205,Guinness,2
205,Abner,1
205,Gose,2
206,Bell's Two Hearted,3
206,Upslope Brown Ale,3
206,Lemonade,1
206,Stella Artios,2
207,Mac n Cheese,2
207,Miller Light,4
207,Schnickelfritz,4
207,Dogfish Head,3
208,Celis White,1
208,Lobster,1
208,Craftsman Cabernale,2
209,Bacon Egg and Cheese,2
209,Brooklyn Brewery Lager,3
209,Coors,3
209,French Dip,2
210,Samuel Adams,1
210,Landshark Lager,4
210,Coffee,2
210,Abner,2
211,Dale's Pale Ale,3
211,Pipeworks Citra,4
212,Bitter American,4
212,Surly Brewing Darkness,1
212,Dumplings,2
213,La Roja,3
213,Hoegaarden,1
213,Saison Rue,3
214,Hop Head Red,2
214,Hamburger,1
214,Pancakes,1
215,Hot Dog,2
215,Fries,1
216,Shakespeare Oatmeal Stout,4
216,Dumplings,1
216,Lone Star,4
217,Shakespeare Oatmeal Stout,3
217,Icehouse,4
217,Crab,2
218,Waffle,1
218,Soup,2
219,Red Stripe,2
219,Dale's Pale Ale,4
220,Penne Vodka,1
220,Icehouse,3
221,Coffee,2
221,Brooklyn Brewery Lager,1
221,Lone Star,1
222,Cheesesteak,1
222,Budweiser,1
222,Key Lime Pie,1
223,Shakespeare Oatmeal Stout,4
223,Spaghetti,2
224,Bacon Egg and Cheese,1
224,La Roja,3
224,Nachos,2
225,La Roja,4
225,Guinness,2
226,Pipeworks Citra,1
226,Dos Equis,2
227,Brooklyn Brewery Lager,3
227,Buffalo Chicken Sandwich,1
228,Calamari,1
228,Pretzels,2
228,Fullsteam Carver,4
228,Brooklyn Brewery Lager,1
229,Corona,1
229,Hot Dog,1
229,Dumplings,2
230,Budweiser,3
230,Crab,1
231,Bacon Egg and Cheese,1
231,Icehouse,3
231,Stella Artios,4
231,Buffalo Chicken Sandwich,2
232,Shakespeare Oatmeal Stout,2
232,Guinness,3
232,Red Stripe,3
232,Pabst Blue Ribbon,1
233,Lemonade,1
233,Icehouse,3
233,Anchor Steam Beer,4
233,Dumplings,1
234,Mac n Cheese,1
234,Corona,3
235,Gose,1
235,Honry Devil,3
235,Abner,1
235,Key Lime Pie,2
236,Waffle,1
236,Spaghetti,1
236,Nachos,1
236,Key Lime Pie,1
237,Cold Mountain Winter Ale,4
237,Cheesecake,2
237,Bacon Egg and Cheese,1
237,Mountain Dew,1
238,Crab,2
238,Pancakes,1
238,Pipeworks Citra,4
239,Honry Devil,3
239,Red Stripe,1
239,Dogfish Head,3
240,Blind Pig IPA,3
240,Guinness,1
241,Celis White,2
241,Hot Dog,2
241,Grilled Cheese,2
242,Pabst Blue Ribbon,4
242,Waffle,1
243,Crab,1
243,Waffle,2
244,Upslope Brown Ale,4
244,French Dip,1
245,Coors,3
245,Fat Sandwich,1
246,Wings,2
246,Lobster,2
246,Dale's Pale Ale,1
246,Bacon Egg and Cheese,2
247,Bacon Egg and Cheese,1
247,Coffee,1
248,Landshark Lager,3
248,Focal Banger,2
248,Anchor Steam Beer,2
248,Chocolate Cake,2
249,Abner,2
249,Craftsman Cabernale,4
249,Pancakes,2
249,Coors,4
250,Upslope Brown Ale,4
250,Tsingtao,1
250,Nugget Nectar,4
250,Gose,4
251,Dale's Pale Ale,4
251,Pabst Blue Ribbon,2
252,Chocolate Cake,1
252,Focal Banger,1
252,Grilled Cheese,2
253,Lone Star,2
253,Pancakes,2
254,Calamari,2
254,Fancy Lawnmower,2
254,Fullsteam Carver,4
254,Blind Pig IPA,4
255,Key Lime Pie,1
255,Red Stripe,3
255,Guinness,1
255,Coke,2
256,Lemonade,1
256,Hop Head Red,1
257,Chocolate Cake,2
257,Nugget Nectar,3
258,Penne Vodka,2
258,Heineken,2
258,Hop Slam,3
259,French Dip,2
259,Blind Pig IPA,1
259,Goldfish,1
259,Mountain Dew,1
260,French Dip,2
260,Fullsteam Carver,2
260,Craftsman Cabernale,2
260,Landshark Lager,3
261,Hoegaarden,3
261,Goldfish,2
261,Fancy Lawnmower,1
262,Dale's Pale Ale,1
262,Hamburger,1
262,Pretzels,1
262,Hop Slam,2
263,Penne Vodka,1
263,Lemonade,1
264,Craftsman Cabernale,2
264,Landshark Lager,1
265,Union Jack,3
265,Goldfish,2
265,Bacon Egg and Cheese,1
265,Stella Artios,2
266,Pipeworks Citra,2
266,Lemonade,1
266,Tsingtao,2
266,Nugget Nectar,1
267,Union Jack,3
267,Uncle Jacob's Stout,4
267,Blind Pig IPA,1
267,Bacon Egg and Cheese,1
268,Penne Vodka,1
268,Crab,2
268,Waffle,1
269,Mac n Cheese,2
269,Union Jack,2
270,Coors,3
270,Vanilla Porter,3
270,Calamari,2
271,Grilled Cheese,2
271,Craftsman Cabernale,2
272,Tsingtao,2
272,Icehouse,1
273,Hop Slam,1
273,Bacon Egg and Cheese,1
274,Brooklyn Brewery Lager,2
274,Mac n Cheese,2
274,Pancakes,2
274,Cheesesteak,1
275,Cheesecake,1
275,Lemonade,1
275,Penne Vodka,1
275,Pipeworks Citra,4
276,Anchor Steam Beer,1
276,Goldfish,2
276,Corona,4
277,Allagash White,3
277,Union Jack,2
277,Stella Artios,2
277,Lobster,2
278,Bitter American,1
278,Pretzels,1
278,Corona,2
278,Blind Pig IPA,2
279,Celis White,4
279,Hop Head Red,1
279,Cold Mountain Winter Ale,2
280,Fullsteam Carver,2
280,Blind Pig IPA,1
281,La Roja,1
281,Grilled Cheese,2
281,Crab,1
281,Key Lime Pie,1
282,Cold Mountain Winter Ale,3
282,Corona,3
283,Pabst Blue Ribbon,3
283,Gose,2
284,Hop Slam,2
284,Allagash White,4
284,Pretzels,1
284,Mountain Dew,1
285,Union Jack,4
285,Corona,3
286,Cold Mountain Winter Ale,4
286,Goldfish,1
287,Heineken,1
287,Penne Vodka,2
287,Icehouse,2
287,Goldfish,2
288,Uncle Jacob's Stout,2
288,Calamari,2
288,Focal Banger,2
288,Coke,2
289,Cold Mountain Winter Ale,4
289,Heineken,3
289,Craftsman Cabernale,4
290,Lemonade,2
290,Hamburger,2
291,Craftsman Cabernale,2
291,Honry Devil,3
292,Pretzels,1
292,Lone Star,4
292,Abner,2
293,Heineken,2
293,Goldfish,1
293,Bacon Egg and Cheese,1
294,Grilled Cheese,1
294,La Roja,2
294,Dos Equis,4
294,Icehouse,2
295,Penne Vodka,1
295,Buffalo Chicken Sandwich,2
295,Soup,1
296,Bitter American,1
296,Stella Artios,3
297,Heineken,1
297,Waffle,2
297,Hop Slam,2
297,Budweiser,3
298,Anchor Steam Beer,2
298,Budweiser,1
299,Cheesecake,1
299,Blue Moon,4
300,Celis White,2
300,Blue Moon,4
301,Goldfish,2
301,Union Jack,4
302,Blue Moon,4
302,Bitter American,4
303,La Roja,3
303,PseudoSue,2
303,Nachos,1
303,Coors,3
304,Hop Head Red,3
304,Hot Dog,2
304,Calamari,2
305,French Dip,2
305,Coke,2
305,Bitter American,3
306,Wings,1
306,Mountain Dew,1
306,Key Lime Pie,1
307,Samuel Adams,3
307,Bacon Egg and Cheese,2
308,Mac n Cheese,1
308,Saison Rue,3
308,Bacon Egg and Cheese,2
308,Focal Banger,2
309,Fat Tire,3
309,Upslope Brown Ale,2
310,Fancy Lawnmower,4
310,Nachos,1
310,Vanilla Porter,3
311,Union Jack,3
311,Schnickelfritz,3
311,Guinness,1
312,Gose,1
312,Pabst Blue Ribbon,4
313,Lemonade,2
313,Fat Sandwich,1
314,Calamari,1
314,Hoegaarden,3
314,Hot Dog,1
315,Mac n Cheese,2
315,Lobster,1
315,Blind Pig IPA,1
316,PseudoSue,4
316,Hefeweizen,1
316,Surly Brewing Darkness,1
316,Saison Rue,3
317,Brooklyn Brewery Lager,1
317,Uncle Jacob's Stout,1
317,Celis White,1
317,Guinness,1
318,Blue Moon,2
318,Fancy Lawnmower,3
318,Chocolate Cake,1
318,Allagash White,1
319,Hot Dog,2
319,Mac n Cheese,2
320,Upslope Brown Ale,2
320,Spaghetti,1
320,Coke,1
321,Lemonade,1
321,Cheesesteak,2
321,Gose,4
321,Guinness,1
322,Key Lime Pie,1
322,Upslope Brown Ale,4
323,Fat Tire,2
323,Brooklyn Brewery Lager,1
323,Nugget Nectar,4
323,Budweiser,1
324,Chocolate Cake,2
324,Pabst Blue Ribbon,3
324,Waffle,2
324,Lemonade,2
325,Icehouse,3
325,Miller Light,4
326,Calamari,2
326,Saison Rue,3
326,Guinness,3
327,Budweiser,3
327,Bell's Two Hearted,3
327,Gose,1
328,Hefeweizen,4
328,Crab,2
328,Chocolate Cake,1
328,Dogfish Head,4
329,Corona,1
329,Dumplings,2
329,Dale's Pale Ale,2
329,Grilled Cheese,1
330,Hamburger,2
330,Icehouse,4
331,Abner,3
331,Bacon Egg and Cheese,2
332,Dos Equis,2
332,Dumplings,2
333,Guinness,3
333,Key Lime Pie,2
334,Pretzels,1
334,Hop Head Red,1
334,Mountain Dew,1
334,Icehouse,3
335,Key Lime Pie,1
335,Samuel Adams,2
335,Spaghetti,1
336,Craftsman Cabernale,4
336,Fat Tire,2
336,Budweiser,4
337,Vanilla Porter,4
337,Brooklyn Brewery Lager,1
338,Hefeweizen,1
338,French Dip,1
338,Key Lime Pie,1
339,Bell's Two Hearted,2
339,Union Jack,4
340,Dumplings,2
340,Tsingtao,3
341,Goldfish,1
341,Fancy Lawnmower,1
341,Lone Star,1
342,French Dip,2
342,Shakespeare Oatmeal Stout,4
342,Bitter American,1
342,Chocolate Cake,2
343,Hoegaarden,1
343,Fries,2
343,Pipeworks Citra,4
344,Lemonade,1
344,Cheesesteak,2
344,Hoegaarden,4
345,Surly Brewing Darkness,1
345,Pretzels,2
346,Brooklyn Brewery Lager,3
346,Upslope Brown Ale,1
347,Hop Slam,1
347,Landshark Lager,2
347,Fat Tire,1
347,Bacon Egg and Cheese,2
348,Honry Devil,4
348,Shakespeare Oatmeal Stout,2
348,Pabst Blue Ribbon,3
348,Surly Brewing Darkness,2
349,Tsingtao,2
349,Miller Light,2
349,Heineken,4
350,Calamari,2
350,Abner,2
351,Stella Artios,4
351,Coors,1
352,Surly Brewing Darkness,2
352,Corona,1
352,Schnickelfritz,2
353,La Roja,4
353,Coffee,2
354,Lemonade,1
354,Hefeweizen,3
355,Upslope Brown Ale,4
355,Coors,1
355,Hop Head Red,3
356,Guinness,2
356,Hefeweizen,1
356,La Roja,3
356,Abner,1
357,La Roja,2
357,Hot Dog,2
357,Pilsner,2
357,Chocolate Cake,1
358,Dale's Pale Ale,2
358,Fat Sandwich,1
358,Fat Tire,2
358,Samuel Adams,2
359,Coke,1
359,Pancakes,1
360,Shakespeare Oatmeal Stout,3
360,Fancy Lawnmower,1
361,Cold Mountain Winter Ale,1
361,Bitter American,4
361,Pancakes,2
361,Coke,2
362,Fullsteam Carver,3
362,Guinness,2
362,Coffee,1
362,Corona,2
363,Coffee,2
363,Uncle Jacob's Stout,3
364,Coors,3
364,Fullsteam Carver,3
365,Fullsteam Carver,2
365,Stella Artios,4
366,La Roja,2
366,Fancy Lawnmower,2
367,Bitter American,2
367,La Roja,3
367,Lobster,1
367,Honry Devil,2
368,Nachos,2
368,Lemonade,1
368,Mountain Dew,1
369,Cheesecake,1
369,Corona,3
370,Samuel Adams,1
370,French Dip,2
370,Waffle,1
371,Stella Artios,3
371,Saison Rue,4
371,Coors,4
372,Gose,2
372,French Dip,1
373,Fancy Lawnmower,2
373,Pilsner,3
373,Dumplings,1
374,Fat Sandwich,1
374,Bacon Egg and Cheese,1
375,Mac n Cheese,1
375,Dos Equis,3
375,Focal Banger,4
376,Hop Slam,1
376,Hefeweizen,2
376,Stella Artios,2
377,Coffee,2
377,Focal Banger,2
377,Lobster,1
377,Mountain Dew,2
378,Key Lime Pie,2
378,Fat Sandwich,1
379,Mac n Cheese,1
379,Lemonade,2
380,Hamburger,1
380,Grilled Cheese,2
381,Spaghetti,2
381,Soup,1
381,Wings,2
381,Fat Tire,3
382,Bell's Two Hearted,1
382,Nugget Nectar,4
382,Celis White,1
382,Upslope Brown Ale,4
383,Mountain Dew,1
383,Dale's Pale Ale,2
383,Calamari,1
384,Mac n Cheese,2
384,Miller Light,2
384,Samuel Adams,2
384,Blue Moon,1
385,Craftsman Cabernale,3
385,Fat Tire,3
385,PseudoSue,1
385,Union Jack,1
386,Hot Dog,1
386,Miller Light,4
386,Celis White,1
387,Soup,2
387,Samuel Adams,2
387,Landshark Lager,2
388,Pipeworks Citra,3
388,Cheesecake,2
388,Cheesesteak,1
388,Lone Star,3
389,Crab,1
389,Lemonade,2
389,Focal Banger,2
390,Crab,1
390,Grilled Cheese,1
390,Upslope Brown Ale,3
391,Focal Banger,2
391,Soup,1
391,Key Lime Pie,1
391,Honry Devil,2
392,Landshark Lager,3
392,Uncle Jacob's Stout,1
393,Cheesecake,2
393,Chocolate Cake,1
393,Hot Dog,1
393,Dumplings,1
394,Lobster,1
394,Fullsteam Carver,2
395,Samuel Adams,3
395,Cold Mountain Winter Ale,2
396,Abner,4
396,Allagash White,1
396,Fullsteam Carver,3
397,Lemonade,1
397,Coors,3
398,La Roja,1
398,Cold Mountain Winter Ale,1
399,Fullsteam Carver,4
399,Pipeworks Citra,2
399,Spaghetti,1
399,Penne Vodka,2
400,Pancakes,1
400,French Dip,2
401,Penne Vodka,1
401,Nachos,2
402,Miller Light,1
402,Focal Banger,1
403,Uncle Jacob's Stout,2
403,Dos Equis,4
403,Honry Devil,4
404,Landshark Lager,2
404,Vanilla Porter,2
404,Guinness,4
405,La Roja,3
405,Pipeworks Citra,3
405,Dogfish Head,1
406,Fries,1
406,Pancakes,2
406,Soup,1
407,Gose,4
407,Fat Tire,4
408,Mac n Cheese,1
