bill_ID,bar,time,day
199,Ink and Paint Club,23:15,Saturday
200,Street Dips,10:41,Tuesday
201,Greely's,21:49,Thursday
202,Linden Room,14:52,Thursday
203,Last Call Bar,22:13,Monday
204,Hazel Southern Bar,16:27,Friday
205,Fast Eddie's,19:15,Wednesday
206,The Skylark Lounge,22:22,Wednesday
207,Ink and Paint Club,23:06,Saturday
208,O'Malley's Bar,01:58,Wednesday
209,El Tenedor,13:00,Monday
210,The Billy goat Tavern,16:04,Tuesday
211,Blondie's Bar,12:52,Friday
212,Local Edition,20:18,Monday
213,Clock Bar,23:56,Saturday
214,Rusted Furnace,10:22,Monday
215,Forgery Bar,13:26,Monday
216,Weenie Hut Jr's,13:13,Sunday
217,The Monkey Farm Cafe,02:35,Wednesday
218,Korova Milk Bar,19:01,Monday
219,Monaghan's Bar,13:11,Thursday
220,Kozy Kar,19:56,Friday
221,Off the Hook,15:43,Wednesday
222,Caribbean Breeze,19:35,Monday
223,Press Club,20:08,Wednesday
224,Jumbo's Clown Room,11:18,Tuesday
225,Burgers Ya Heard,10:03,Thursday
226,Fireside Bar,21:40,Wednesday
227,Bar 821,11:38,Tuesday
228,The Jack Saloon,02:01,Wednesday
229,Midnight Cowboy,14:18,Wednesday
230,The Skylark Lounge,01:25,Thursday
231,Boar's Head Tavern,13:15,Wednesday
232,Tin 'n' Lint,11:41,Saturday
233,The Gold Room,02:37,Monday
234,A Clean, Well-Lighted Place,15:25,Saturday
235,Bourbon and Branch,16:34,Saturday
236,Tempest,21:14,Monday
237,The Dogg House,19:25,Tuesday
238,Toronado,12:15,Friday
239,The Roosevelt Room,00:45,Monday
240,Fast Eddie's,00:57,Monday
241,Third Rail,23:22,Sunday
242,Bada Bing!,19:55,Tuesday
243,Resolute,20:14,Thursday
244,Playaz Club,19:11,Friday
245,A Clean, Well-Lighted Place,15:42,Tuesday
246,Weenie Hut Jr's,17:30,Saturday
247,95 Slide,00:51,Monday
248,The Jack Saloon,16:54,Thursday
249,Bus Stop,11:35,Tuesday
250,Meibeyer's,17:15,Thursday
251,The Jack Saloon,16:43,Saturday
252,Toronado,00:46,Thursday
253,Marie's Crisis Cafe,22:05,Wednesday
254,Brotherhood of Thieves,21:07,Friday
255,15 Romolo,23:29,Tuesday
256,Salty Squid,19:20,Saturday
257,The Store,19:52,Thursday
258,Half Step,16:24,Thursday
259,BlackBird,01:57,Sunday
260,The Dogg House,14:51,Thursday
261,Bob's Country Bunker,10:13,Monday
262,Cityscape,16:12,Thursday
263,Lefty's Pub,21:09,Tuesday
264,Zeitgeist,11:17,Saturday
265,The Rolling Hunger,15:21,Thursday
266,Tabard Inn,12:32,Sunday
267,Levy's,10:44,Monday
268,Aunt Charlie's Lounge,01:38,Sunday
269,Ray's Happy Birthday Bar,23:29,Wednesday
270,Snake and Jake's Christmas Club Lounge,16:17,Monday
271,Jalapeno Brothers,22:44,Sunday
272,Fat Angel,10:15,Tuesday
273,The Drunken Clam,20:10,Monday
274,Weenie Hut Jr's,22:16,Monday
275,The Drunken Clam,14:32,Saturday
276,Rick's Cafe Americanain,17:38,Thursday
277,Death and Co,13:44,Wednesday
278,Rock Bar,10:39,Friday
279,Snake and Jake's Christmas Club Lounge,15:51,Tuesday
280,Top of the Mark,01:01,Tuesday
281,Jalapeno Brothers,00:52,Sunday
282,Cockatoo Inn,22:35,Saturday
283,Maccadam's Old Oil House,02:49,Wednesday
284,Tucker's Tavern,23:30,Monday
285,Corner Tavern,21:53,Friday
286,HandleBar,14:19,Sunday
287,The Page,11:45,Tuesday
288,The Brick,17:15,Tuesday
289,The Store,16:56,Wednesday
290,Comstock Saloon,19:36,Friday
291,Tempest,16:45,Wednesday
292,Blondie's Bar,13:37,Wednesday
293,Last Call Bar,11:40,Tuesday
294,Coffeecake,02:05,Friday
295,Victory,00:35,Tuesday
296,The Sea Star,10:01,Sunday
297,The Sea Star,17:57,Monday
298,Kadie's Club Pecos,10:50,Thursday
299,Madrone Art Bar,10:13,Friday
300,Wildhawk,00:55,Thursday
301,The Tipsy Cow,15:05,Friday
302,The Starlight Room,18:48,Friday
303,Bond Bar,23:47,Friday
304,The Surly Wench Pub,11:51,Sunday
305,The Crazy Horse,13:59,Wednesday
306,Madrone Art Bar,20:53,Sunday
307,Hard Times and Misery Saloon,13:55,Wednesday
308,The Alembic,16:13,Friday
309,Mickey's Pub,13:53,Thursday
310,The Surly Wench Pub,14:09,Tuesday
311,Cockatoo Inn,11:10,Sunday
312,15 Romolo,21:58,Wednesday
313,Library Bar,02:43,Tuesday
314,The Billy goat Tavern,12:58,Thursday
315,Midnight Cowboy,17:02,Tuesday
316,1836 Grill,15:48,Sunday
317,Hazel Southern Bar,16:09,Saturday
318,Canela Bistro and Wine Bar,23:44,Monday
319,Cold Drinks Bar,02:32,Friday
320,Whisler's,13:55,Tuesday
321,Hop Sing Laundromat,01:30,Thursday
322,The Tipsy Cow,17:51,Tuesday
323,Psycho Suzi's,16:05,Tuesday
324,Lee Harvey's,13:21,Thursday
325,Fast Eddie's,13:50,Saturday
326,Press Club,12:12,Tuesday
327,Caribbean Breeze,01:07,Saturday
328,The Surly Wench Pub,20:33,Thursday
329,Psycho Suzi's,13:41,Sunday
330,The Billy goat Tavern,23:18,Friday
331,Mos Eisley Cantina,18:56,Thursday
332,Holy Water,14:54,Sunday
333,Clock Bar,10:03,Wednesday
334,The Monkey Farm Cafe,21:26,Wednesday
335,Fast Eddie's,17:11,Tuesday
336,Forgery Bar,15:14,Saturday
337,Tiki Bar,14:05,Wednesday
338,Paddy's Pub,22:52,Wednesday
339,The Green Dragon Inn,01:25,Wednesday
340,Bond Bar,19:46,Thursday
341,Club Sugar Ray,19:53,Wednesday
342,Bond Bar,18:47,Thursday
343,The Billy goat Tavern,23:54,Sunday
344,Lefty's Pub,17:15,Sunday
345,The Pool Hall,20:23,Sunday
346,Psycho Suzi's,11:06,Wednesday
347,15 Romolo,00:10,Sunday
348,Dino's Bar and Grill,21:31,Sunday
349,Last Call Bar,18:33,Wednesday
350,Fireside Bar,20:13,Monday
351,Cold Drinks Bar,15:04,Tuesday
352,The Fainting Goat,02:18,Friday
353,Element,17:51,Wednesday
354,El Tenedor,11:23,Tuesday
355,The Brick,14:37,Thursday
356,Hop Sing Laundromat,15:20,Friday
357,Friends Bar,00:47,Thursday
358,Wildhawk,02:20,Thursday
359,The Billy goat Tavern,02:56,Wednesday
360,Volpe's,12:39,Sunday
361,The Jackalope,01:40,Sunday
362,Fat Angel,01:05,Monday
363,Blondie's Bar,23:15,Tuesday
364,Top of the Mark,17:25,Friday
365,Death and Co,11:53,Tuesday
366,Comstock Saloon,12:15,Friday
367,Lefty's Pub,13:14,Sunday
368,Fireside Bar,10:14,Tuesday
369,Barca City,20:14,Sunday
370,The Sea Star,14:34,Tuesday
371,Rock Bar,15:40,Friday
372,The Page,02:59,Monday
373,Forgery Bar,16:21,Saturday
374,Resolute,21:08,Monday
375,Bar 821,12:06,Tuesday
376,Bourbon and Branch,10:47,Wednesday
377,The Bar,17:30,Monday
378,The Alembic,11:51,Tuesday
379,The House of shields,18:59,Saturday
380,Black Horse London Pub,17:56,Saturday
381,Rickhouse,10:05,Thursday
382,Last Call Bar,17:39,Saturday
383,Rusted Furnace,10:19,Friday
384,Jumbo's Clown Room,22:38,Saturday
385,Half Step,13:40,Sunday
386,The Sea Star,14:56,Thursday
387,Last Call Bar,13:33,Monday
388,The Dogg House,02:41,Saturday
389,Bean Bag,02:48,Friday
390,Lighthouse Bar and Grill,22:13,Tuesday
391,Half Step,19:02,Monday
392,The Chapel,12:37,Friday
393,Meibeyer's,19:23,Sunday
394,15 Romolo,19:08,Wednesday
395,The Bar,12:19,Monday
396,Murio's Trophy Room,10:57,Tuesday
397,Lee Harvey's,11:20,Thursday
398,Kelly's Korner,10:41,Sunday
399,Noc Noc,20:23,Tuesday
400,Rickhouse,16:44,Thursday
401,Union Square Sports Bar,00:33,Saturday
402,Death and Co,10:34,Tuesday
403,Top of the Mark,18:48,Friday
404,Barca City,21:00,Tuesday
405,Blondie's Bar,02:55,Tuesday
406,The People's Republik,15:42,Monday
407,Harry Hope's Saloon,20:51,Tuesday
408,Madrone Art Bar,01:10,Monday
409,Novela,16:00,Saturday
410,The Boxcar,22:09,Monday
411,The Hip Joint,16:54,Friday
412,Bourbon and Branch,16:40,Monday
413,Fat Angel,16:13,Thursday
414,The Boxcar,10:56,Friday
415,Paddy's Pub,12:13,Monday
416,Fast Eddie's,01:06,Monday
417,Charmaine's,22:03,Thursday
418,The Brick,23:35,Monday
419,Victory,20:27,Sunday
420,Korova Milk Bar,10:43,Sunday
421,The Monk's Kettle,16:28,Friday
422,Half Step,02:48,Saturday
423,Steve Vo's,01:48,Tuesday
424,The Boxcar,13:52,Sunday
425,Mos Eisley Cantina,11:59,Saturday
426,Lighthouse Bar and Grill,10:26,Sunday
427,Jimmy D's,01:48,Tuesday
428,The Bar,02:21,Tuesday
429,Lee Harvey's,22:25,Thursday
430,Noc Noc,22:53,Saturday
431,Cheers,19:41,Thursday
432,The Last Resort,01:35,Saturday
433,Hi Tops,21:50,Friday
434,The Rolling Hunger,18:05,Wednesday
435,Hard Times and Misery Saloon,16:03,Friday
436,The Brick,19:15,Tuesday
437,Munden's Bar,10:02,Monday
438,The Hideout Theatre,20:22,Tuesday
439,Bar San Pancho,21:41,Sunday
440,The Jackalope,20:32,Sunday
441,The Gem Saloon,15:31,Wednesday
442,Wilma's,10:57,Wednesday
443,Maccadam's Old Oil House,20:11,Monday
444,Holy Water,00:44,Tuesday
445,Korova Milk Bar,22:46,Wednesday
446,The Surly Wench Pub,13:29,Thursday
447,Jalapeno Brothers,18:00,Monday
448,The Rolling Hunger,15:37,Thursday
449,Mystic Island Casino,10:14,Wednesday
450,Tin 'n' Lint,15:31,Sunday
451,Inky Stink,23:43,Tuesday
452,Inky Stink,19:58,Sunday
453,Rickhouse,13:16,Friday
454,Bar 821,19:45,Friday
455,Otto's Shrunken Head,11:52,Wednesday
456,The Crow & Crown,20:05,Thursday
457,Cheers,19:02,Wednesday
458,Oddjob,10:42,Monday
459,Winchester Tavern,14:57,Thursday
460,Zam Zam,21:06,Wednesday
461,Lighthouse Bar and Grill,14:20,Saturday
462,Gaston's,11:43,Saturday
463,Knomad Bar,23:05,Tuesday
464,White Cap,23:32,Wednesday
465,Blondie's Bar,19:43,Sunday
466,The Pool Hall,23:55,Sunday
467,Wilma's,16:24,Sunday
468,Cheers,17:44,Tuesday
469,Bob's Country Bunker,23:53,Saturday
470,The Double Deuce,21:44,Tuesday
471,Jumbo's Clown Room,17:03,Wednesday
472,Ray's Happy Birthday Bar,17:45,Monday
473,The House of shields,00:19,Monday
474,Dive Bar and Lounge,16:58,Thursday
475,Kozy Kar,01:06,Saturday
476,Off the Hook,10:51,Saturday
477,Garage,11:58,Sunday
478,Burgers Ya Heard,17:43,Monday
479,Murio's Trophy Room,00:30,Thursday
480,Marie's Crisis Cafe,12:36,Monday
481,Knomad Bar,17:38,Monday
482,The Jackalope,01:55,Sunday
483,HandleBar,17:56,Wednesday
484,Firehouse Lounge,11:49,Sunday
485,Pacific Cocktail Haven,22:08,Friday
486,The Gem Saloon,13:53,Wednesday
487,Mystic Island Casino,23:06,Wednesday
488,The Tipsy Cow,00:52,Sunday
489,Salty Squid,01:20,Sunday
490,Fireside Bar,22:29,Monday
491,Madrone Art Bar,23:07,Friday
492,Tempest,19:54,Wednesday
493,Toronado,15:46,Sunday
494,Brass Tracks,00:30,Tuesday
495,Cheers,13:35,Tuesday
496,Coffeecake,13:25,Tuesday
497,Brass Tracks,00:13,Monday
498,Jalapeno Brothers,02:17,Wednesday
499,Caribbean Breeze,12:11,Saturday
500,The Moon Under Water,11:48,Wednesday
501,Smuggler's Cove,18:43,Saturday
502,95 Slide,14:29,Tuesday
503,The Hog's Head Inn,17:26,Saturday
504,Lee Harvey's,00:14,Thursday
505,Volpe's,16:46,Sunday
506,Winchester Tavern,21:26,Tuesday
507,Hi Tops,10:34,Sunday
508,Lil Phil's Grill,11:40,Tuesday
509,Press Club,15:59,Wednesday
510,Dino's Bar and Grill,13:35,Tuesday
511,Hard Times and Misery Saloon,00:16,Tuesday
512,Mos Eisley Cantina,15:23,Tuesday
513,Hop Sing Laundromat,13:52,Thursday
514,Black Horse London Pub,21:01,Thursday
515,The Crazy Horse,21:39,Wednesday
516,Dino's Bar and Grill,14:22,Sunday
517,The Jackalope,23:05,Wednesday
518,Benjamin Cooper,14:29,Wednesday
519,Lil Phil's Grill,14:57,Monday
520,Tin 'n' Lint,00:07,Tuesday
521,Bar 821,19:51,Thursday
522,Mos Eisley Cantina,16:06,Friday
523,Holy Water,21:44,Monday
524,The Tiny Twister,17:54,Monday
525,Bar San Pancho,23:50,Wednesday
526,O'Malley's Bar,18:25,Sunday
527,Winchester Tavern,16:56,Tuesday
528,The Tiny Twister,15:17,Saturday
529,Jalapeno Brothers,15:50,Monday
530,The Starlight Room,23:23,Friday
531,Cityscape,02:23,Saturday
532,Press Club,23:52,Friday
533,Munden's Bar,15:20,Saturday
534,Hot Bird,20:28,Friday
535,The Monk's Kettle,19:36,Friday
536,Mickey's Pub,02:10,Saturday
537,Volpe's,12:16,Wednesday
538,Street Dips,15:50,Monday
539,The Admiral Benbow Inn,21:44,Sunday
540,Rusted Furnace,16:32,Sunday
541,Full Circle Bar,02:27,Monday
542,Monaghan's Bar,19:56,Sunday
543,Full Circle Bar,16:39,Sunday
544,Mr. Sizzles,23:22,Saturday
545,Charmaine's,11:03,Thursday
546,Lil Phil's Grill,13:08,Friday
547,Last Call Bar,00:28,Wednesday
548,Oyster Creek Inn,18:31,Tuesday
549,Robert's Western World,00:12,Monday
550,Top of the Mark,22:03,Sunday
551,1836 Grill,22:01,Monday
552,The Monk's Kettle,18:11,Thursday
553,Benjamin Cooper,14:40,Wednesday
554,Kadie's Club Pecos,19:39,Friday
555,Rusted Furnace,12:54,Sunday
556,Tabard Inn,20:56,Thursday
557,Linden Room,12:41,Saturday
558,Hi Tops,00:26,Thursday
559,Noc Noc,19:57,Thursday
560,Cheers,21:41,Wednesday
561,The Fainting Goat,00:42,Monday
562,Inky Stink,11:12,Saturday
563,Holy Water,13:08,Tuesday
564,Madrone Art Bar,21:07,Friday
565,Whitechapel,00:10,Thursday
566,The Grackle,01:35,Saturday
567,Mikkeller Bar,23:29,Monday
568,The Hip Joint,22:49,Saturday
569,Rock Bar,18:43,Tuesday
570,Cheers,22:26,Saturday
571,The Hog's Head Inn,01:20,Tuesday
572,Moe's Tavern,11:52,Wednesday
573,Bar of the Dogs,18:05,Wednesday
574,Oddjob,02:00,Monday
575,Press Club,01:39,Friday
576,Lee Harvey's,22:33,Sunday
577,Mystic Island Casino,11:45,Tuesday
578,Ten Foward,22:54,Monday
579,Snake and Jake's Christmas Club Lounge,19:47,Saturday
580,Playaz Club,00:19,Friday
581,Hot Bird,19:42,Wednesday
582,The Admiral Benbow Inn,13:53,Wednesday
583,The Bar,01:16,Thursday
584,Midnight Cowboy,18:05,Monday
585,The Page,01:24,Sunday
586,Cold Drinks Bar,11:56,Sunday
587,Tin 'n' Lint,11:10,Saturday
588,Noc Noc,17:35,Tuesday
589,The Tiny Twister,15:09,Thursday
590,Firehouse Lounge,12:36,Tuesday
591,Jimmy D's,02:57,Thursday
592,Levy's,13:46,Thursday
593,The Jackalope,21:56,Monday
594,Barca City,18:37,Sunday
595,Cityscape,13:35,Tuesday
596,Whisler's,11:48,Sunday
597,Chatsubo,20:46,Wednesday
598,BlackBird,10:58,Wednesday
599,The Page,18:55,Monday
600,Cityscape,20:45,Saturday
601,The Hideout Theatre,16:26,Monday
602,1836 Grill,02:04,Sunday
603,Rick's Cafe Americanain,17:53,Friday
604,Canela Bistro and Wine Bar,21:34,Sunday
605,Zam Zam,18:45,Wednesday
606,Ten Foward,19:44,Sunday
607,Brotherhood of Thieves,22:37,Tuesday
608,Rock Bar,16:59,Friday
609,BlackBird,00:12,Friday
610,Cityscape,15:12,Saturday
611,Zam Zam,16:23,Monday
612,Paddy's Pub,18:42,Sunday
613,Bond Bar,02:13,Wednesday
614,Atomic Liquors,20:54,Thursday
615,Zeitgeist,14:45,Tuesday
616,Bada Bing!,23:38,Tuesday
617,Maccadam's Old Oil House,19:35,Friday
618,Bar 821,23:06,Saturday
619,The Drunken Clam,22:37,Friday
620,The Pied Piper,13:36,Tuesday
621,Victory,19:24,Wednesday
622,The Pool Hall,15:50,Sunday
623,Off the Hook,22:08,Monday
624,Psycho Suzi's,22:47,Friday
625,Scarlet Pub,23:34,Tuesday
626,The Store,14:32,Saturday
627,Tucker's Tavern,01:51,Sunday
628,Paddy's Pub,11:32,Tuesday
629,Salty Squid,14:31,Wednesday
630,Cajun Cabin,12:31,Tuesday
631,Comstock Saloon,18:15,Wednesday
632,Rock Bar,18:04,Thursday
633,Aunt Charlie's Lounge,01:23,Monday
634,Rock Bar,11:42,Sunday
635,Holy Water,15:27,Sunday
636,The Gem Saloon,10:59,Monday
637,The Crazy Horse,01:44,Wednesday
638,The Gem Saloon,00:35,Saturday
639,Comstock Saloon,15:42,Saturday
640,Gaston's,00:16,Friday
641,A Clean, Well-Lighted Place,12:48,Sunday
642,Brass Tracks,16:16,Tuesday
643,Weenie Hut Jr's,21:08,Friday
644,The Brick,20:03,Thursday
645,Dino's Bar and Grill,18:25,Monday
646,The Tipsy Cow,02:20,Thursday
647,The Pied Piper,01:23,Thursday
648,Benjamin Cooper,17:00,Sunday
649,A Clean, Well-Lighted Place,00:08,Friday
650,White Cap,23:37,Thursday
651,Volpe's,17:38,Tuesday
652,Maccadam's Old Oil House,12:04,Monday
653,Ray's Happy Birthday Bar,16:18,Tuesday
654,Half Step,22:30,Friday
655,Fast Eddie's,17:06,Friday
656,Friends Bar,11:16,Sunday
657,The Chapel,02:44,Thursday
658,The Tiny Twister,01:21,Wednesday
659,Bar San Pancho,18:06,Monday
660,Brotherhood of Thieves,20:29,Sunday
661,Hop Sing Laundromat,10:31,Sunday
662,The Tipsy Cow,02:44,Monday
663,Psycho Suzi's,01:30,Monday
664,Inky Stink,10:44,Tuesday
665,Marie's Crisis Cafe,21:38,Tuesday
666,The Grackle,18:41,Thursday
667,The Billy goat Tavern,23:35,Sunday
668,The Chapel,22:34,Friday
669,The Snakehole,15:39,Tuesday
670,Toronado,00:34,Monday
671,Jalapeno Brothers,21:16,Sunday
672,Bar Fluxus,01:40,Thursday
673,The Dogg House,18:57,Monday
674,Atomic Liquors,00:08,Friday
675,Craft Pride,15:29,Wednesday
676,The Drunken Clam,23:46,Thursday
677,Ink and Paint Club,12:25,Friday
678,Madrone Art Bar,10:23,Saturday
679,Victory,13:26,Thursday
680,Chatsubo,20:55,Sunday
681,Jimmy D's,01:43,Wednesday
682,Aunt Charlie's Lounge,01:29,Tuesday
683,Kozy Kar,10:21,Friday
684,Mr. Sizzles,14:31,Sunday
685,Brotherhood of Thieves,15:38,Wednesday
686,Playaz Club,18:48,Saturday
687,Mystic Island Casino,13:48,Thursday
688,Smog Cutter,00:33,Sunday
689,Oyster Creek Inn,22:22,Monday
690,HandleBar,15:35,Wednesday
691,Linden Room,12:36,Monday
692,Third Rail,20:25,Wednesday
693,The Crow & Crown,19:33,Wednesday
694,Bus Stop,19:50,Wednesday
695,Hot Bird,19:29,Wednesday
696,The Roosevelt Room,10:04,Friday
697,Kadie's Club Pecos,22:16,Friday
698,The Tipsy Cow,14:19,Thursday
699,Charmaine's,14:11,Thursday
700,Chatsubo,14:21,Thursday
701,Benjamin Cooper,13:09,Sunday
702,Inky Stink,13:16,Tuesday
703,Hi Tops,10:06,Sunday
704,The Bang Bang Bar,01:46,Thursday
705,The Bar,21:06,Saturday
706,Tiki Bar,16:58,Tuesday
707,Chatsubo,13:31,Monday
708,Street Dips,17:25,Thursday
709,Element,19:52,Tuesday
